Series ID,Units,Gender,Age [years],Disability,Race,Industry and Class of Worker,Educational Attainment,Occupation,Veteran Status,Period of Service,Nativity,Metric,Series Description
SCADUM65O,Thousands of Persons,Men,≥65,All,All,All,Some College or Associate Degree,All,All,All,All,level,Men/≥65/All/All/All/Some College or Associate Degree/All/All/All/All
CGPD65O,Percent,All,≥65,All,All,All,Professional Degree,All,All,All,All,rate,All/≥65/All/All/All/Professional Degree/All/All/All/All
CGPDU65O,Thousands of Persons,All,≥65,All,All,All,Professional Degree,All,All,All,All,level,All/≥65/All/All/All/Professional Degree/All/All/All/All
SCAD65O,Percent,All,≥65,All,All,All,Some College or Associate Degree,All,All,All,All,rate,All/≥65/All/All/All/Some College or Associate Degree/All/All/All/All
SCADU65O,Thousands of Persons,All,≥65,All,All,All,Some College or Associate Degree,All,All,All,All,level,All/≥65/All/All/All/Some College or Associate Degree/All/All/All/All
LNU03075600,Thousands of Persons,All,≥65,With a Disability,All,All,All,All,All,All,All,level,All/≥65/With a Disability/All/All/All/All/All/All/All
LNU04075600,Percent,All,≥65,With a Disability,All,All,All,All,All,All,All,rate,All/≥65/With a Disability/All/All/All/All/All/All/All
LNU03075379,Thousands of Persons,All,≥65,With No Disability,All,All,All,All,All,All,All,level,All/≥65/With No Disability/All/All/All/All/All/All/All
LNU04075379,Percent,All,≥65,With No Disability,All,All,All,All,All,All,All,rate,All/≥65/With No Disability/All/All/All/All/All/All/All
LNU03000036,Thousands of Persons,All,20-24,All,All,All,All,All,All,All,All,level,All/20-24/All/All/All/All/All/All/All/All
TOTLU2534,Thousands of Persons,All,25-34,All,All,All,All,All,All,All,All,level,All/25-34/All/All/All/All/All/All/All/All
CGBD65OW,Percent,Women,≥65,All,All,All,Bachelor's Degree,All,All,All,All,rate,Women/≥65/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUW65O,Thousands of Persons,Women,≥65,All,All,All,Bachelor's Degree,All,All,All,All,level,Women/≥65/All/All/All/Bachelor's Degree/All/All/All/All
CGDD65OW,Percent,Women,≥65,All,All,All,Doctoral Degree,All,All,All,All,rate,Women/≥65/All/All/All/Doctoral Degree/All/All/All/All
CGDDUW65O,Thousands of Persons,Women,≥65,All,All,All,Doctoral Degree,All,All,All,All,level,Women/≥65/All/All/All/Doctoral Degree/All/All/All/All
HSGS65OW,Percent,Women,≥65,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Women/≥65/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUW65O,Thousands of Persons,Women,≥65,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Women/≥65/All/All/All/High School Graduates, No College/All/All/All/All"
