series_id,metric,status,warning,expected_obs_count,actual_obs_count,count_match,rows_inserted,fred_message
LNU04000347,rate,ok,,939,939,TRUE,939,
LNU04000097,rate,ok,,939,939,TRUE,939,
CGBD5564M,rate,ok,,315,315,TRUE,315,
CGBDUM5564,level,ok,,315,315,TRUE,315,
CGDD5564M,rate,ok,,314,314,TRUE,314,
CGDDUM5564,level,ok,,314,314,TRUE,314,
HSGS5564M,rate,ok,,315,315,TRUE,315,
HSGSUM5564,level,ok,,315,315,TRUE,315,
LHSD5564M,rate,ok,,315,315,TRUE,315,
LHSDUM5564,level,ok,,315,315,TRUE,315,
CGMD5564M,rate,ok,,315,315,TRUE,315,
CGMDUM5564,level,ok,,315,315,TRUE,315,
CGPD5564M,rate,ok,,314,314,TRUE,314,
CGPDUM5564,level,ok,,314,314,TRUE,314,
SCAD5564M,rate,ok,,315,315,TRUE,315,
SCADUM5564,level,ok,,315,315,TRUE,315,
CGPD5564,rate,ok,,314,314,TRUE,314,
CGPDU5564,level,ok,,314,314,TRUE,314,
SCAD5564,rate,ok,,315,315,TRUE,315,
SCADU5564,level,ok,,315,315,TRUE,315,
LNU04000199,rate,ok,,939,939,TRUE,939,
LNU04000354,rate,ok,,939,939,TRUE,939,
CGBD5564W,rate,ok,,315,315,TRUE,315,
CGBDUW5564,level,ok,,315,315,TRUE,315,
CGDD5564W,rate,ok,,310,310,TRUE,310,
CGDDUW5564,level,ok,,310,310,TRUE,310,
HSGS5564W,rate,ok,,315,315,TRUE,315,
HSGSUW5564,level,ok,,315,315,TRUE,315,
LHSD5564W,rate,ok,,315,315,TRUE,315,
LHSDUW5564,level,ok,,315,315,TRUE,315,
CGMD5564W,rate,ok,,315,315,TRUE,315,
CGMDUW5564,level,ok,,315,315,TRUE,315,
CGPD5564W,rate,ok,,300,300,TRUE,300,
CGPDUW5564,level,ok,,300,300,TRUE,300,
SCAD5564W,rate,ok,,315,315,TRUE,315,
SCADUW5564,level,ok,,315,315,TRUE,315,
